,accession,oxytolerance,domain,phylum,class,order,family
22,RS_GCF_003843875.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_D,f__Alkalibacillaceae
23,RS_GCF_013377755.1,anaerobe,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanofollaceae
24,RS_GCF_000383875.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_B,f__Caldibacillaceae
25,RS_GCF_000258405.1,anaerobe,d__Bacteria,p__Bacteroidota,c__Ignavibacteria,o__Ignavibacteriales,f__Ignavibacteriaceae
26,RS_GCF_000425385.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
27,RS_GCF_004322855.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Euzebyales,f__Egibacteraceae
28,RS_GCF_000271485.2,anaerobe,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Propionisporales,f__Propionisporaceae
29,RS_GCF_000214035.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Rhodocyclaceae
30,RS_GCF_003234965.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Aestuariivirgaceae
31,RS_GCF_001720135.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Pleomorphomonadaceae
32,RS_GCF_000147715.2,anaerobe,d__Bacteria,p__Thermotogota,c__Thermotogae,o__Petrotogales,f__Kosmotogaceae
33,RS_GCF_001646865.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae
34,RS_GCF_000165465.1,anaerobe,d__Bacteria,p__Firmicutes_F,c__Halanaerobiia,o__Halanaerobiales,f__Halanaerobiaceae
35,RS_GCF_007829035.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Dermatophilaceae
36,RS_GCF_900107015.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
37,RS_GCF_000023105.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Beutenbergiaceae
38,RS_GCF_000215935.2,anaerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Haloplasmatales,f__Haloplasmataceae
39,RS_GCF_004362525.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
40,RS_GCF_001907975.1,aerobe,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__Silvanigrellales,f__Silvanigrellaceae
41,RS_GCF_003385775.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae
42,RS_GCF_000015585.1,anaerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Nitrococcales,f__Halorhodospiraceae
43,RS_GCF_000092425.1,aerobe,d__Bacteria,p__Deinococcota,c__Deinococci,o__Deinococcales,f__Trueperaceae
44,RS_GCF_003253995.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
45,RS_GCF_002937115.1,anaerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae
46,RS_GCF_000020465.1,anaerobe,d__Bacteria,p__Bacteroidota,c__Chlorobia,o__Chlorobiales,f__Chlorobiaceae
47,RS_GCF_004339575.1,anaerobe,d__Bacteria,p__Aquificota,c__Desulfurobacteriia,o__Desulfurobacteriales,f__Desulfurobacteriaceae
48,RS_GCF_000337515.1,aerobe,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae
49,RS_GCF_000429925.1,anaerobe,d__Bacteria,p__Desulfobacterota,c__Desulfobacteria,o__Desulfobacterales,f__Desulfatirhabdiaceae
50,RS_GCF_014596935.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae
51,RS_GCF_001006045.1,anaerobe,d__Archaea,p__Halobacteriota,c__Archaeoglobi,o__Archaeoglobales,f__Archaeoglobaceae
52,GB_GCA_014643535.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__ATCC43930,f__Stellaceae
53,RS_GCF_000169235.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae
54,RS_GCF_000512235.1,anaerobe,d__Bacteria,p__Desulfobacterota_G,c__Syntrophorhabdia,o__Syntrophorhabdales,f__Syntrophorhabdaceae
55,RS_GCF_007988965.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_A,f__Planococcaceae
56,RS_GCF_002201475.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae
57,RS_GCF_900103835.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae
58,RS_GCF_900636535.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae
59,RS_GCF_900129645.1,anaerobe,d__Bacteria,p__Synergistota,c__Synergistia,o__Synergistales,f__Acetomicrobiaceae
60,RS_GCF_000733935.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylomonadaceae
61,RS_GCF_002209565.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
62,RS_GCF_000378205.1,anaerobe,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__DSM-16054,f__Sediminispirochaetaceae
63,RS_GCF_006715055.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Dermatophilaceae
64,RS_GCF_002886255.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_H,f__Marinococcaceae
65,RS_GCF_000379165.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Cellvibrionaceae
66,RS_GCF_001945525.1,anaerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae
67,RS_GCF_000427685.1,aerobe,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae
68,RS_GCF_000374545.1,anaerobe,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Anaeromusales,f__Anaeromusaceae
69,RS_GCF_000092205.1,anaerobe,d__Bacteria,p__Desulfobacterota,c__Desulfobulbia,o__Desulfobulbales,f__Desulfurivibrionaceae
70,RS_GCF_004339245.1,anaerobe,d__Bacteria,p__Deferribacterota,c__Deferribacteres,o__Deferribacterales,f__Denitrovibrionaceae
71,RS_GCF_001552435.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Dermatophilaceae
72,RS_GCF_000423125.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halieaceae
73,RS_GCF_004793635.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Maricaulaceae
74,RS_GCF_000173975.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae
75,RS_GCF_000014285.2,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae
76,RS_GCF_003402235.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halieaceae
77,RS_GCF_000017805.1,anaerobe,d__Bacteria,p__Chloroflexota,c__Chloroflexia,o__Chloroflexales,f__Roseiflexaceae
78,GB_GCA_014646815.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Dermatophilaceae
79,RS_GCF_900119185.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae
80,RS_GCF_002954265.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae
81,RS_GCF_003317055.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Eubacteriales,f__Alkalibacteraceae
82,RS_GCF_000966195.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_B,f__Domibacillaceae
83,RS_GCF_000507245.1,anaerobe,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Spirochaetales_C,f__Salinispiraceae
84,GB_GCA_014640155.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae
85,RS_GCF_000243155.2,anaerobe,d__Bacteria,p__Firmicutes_B,c__Desulfitobacteriia,o__Desulfitobacteriales,f__Desulfitobacteriaceae
86,RS_GCF_004217565.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Micrococcaceae
87,RS_GCF_001563225.1,anaerobe,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfovibrionaceae
88,RS_GCF_000807275.1,anaerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae
89,RS_GCF_000701905.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae
90,RS_GCF_900111095.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Nitrincolaceae
91,RS_GCF_000217995.1,anaerobe,d__Archaea,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanosarcinaceae
92,RS_GCF_010820565.1,anaerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Chromatiaceae
93,RS_GCF_900187265.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae
94,RS_GCF_003290025.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
95,RS_GCF_000313565.1,anaerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae
96,RS_GCF_000365025.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Maricaulaceae
97,RS_GCF_000183725.1,anaerobe,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Sulfurimonadaceae
98,RS_GCF_000023925.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Dermatophilaceae
99,RS_GCF_900102915.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae
100,RS_GCF_004364325.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae
101,RS_GCF_000374145.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
102,GB_GCA_014640535.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae
103,RS_GCF_900460465.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae
104,RS_GCF_000018465.1,aerobe,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae
105,RS_GCF_000372745.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae
106,RS_GCF_003688285.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
107,RS_GCF_000013665.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Cellvibrionaceae
108,RS_GCF_000496075.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Tepidamorphaceae
109,RS_GCF_006717075.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptosporangiales,f__Streptosporangiaceae
110,RS_GCF_902506685.1,anaerobe,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Negativicoccaceae
111,RS_GCF_004005845.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__UBA8366,f__GCA-2696645
112,RS_GCF_003337555.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
113,RS_GCF_001562425.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Thermosediminibacteria,o__Thermosediminibacterales,f__Thermosediminibacteraceae
114,RS_GCF_003315205.1,aerobe,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae
115,RS_GCF_000007305.1,anaerobe,d__Archaea,p__Methanobacteriota,c__Thermococci,o__Thermococcales,f__Thermococcaceae
116,RS_GCF_003752415.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Propionibacteriales,f__Propionibacteriaceae
117,RS_GCF_000020965.1,anaerobe,d__Bacteria,p__Dictyoglomota,c__Dictyoglomia,o__Dictyoglomales,f__Dictyoglomaceae
118,RS_GCF_010078385.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae
119,RS_GCF_011927795.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae
120,RS_GCF_000374125.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae
121,RS_GCF_006716675.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Dermatophilaceae
122,RS_GCF_003856495.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Thermoactinomycetales,f__Thermoactinomycetaceae
123,RS_GCF_000469585.1,anaerobe,d__Bacteria,p__Chrysiogenetota,c__Chrysiogenetes,o__Chrysiogenales,f__Chrysiogenaceae
124,RS_GCF_003074135.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Euzebyales,f__Euzebyaceae
125,RS_GCF_000526435.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Mahellia_A,o__Caldicoprobacterales,f__Caldicoprobacteraceae
126,RS_GCF_000686525.1,anaerobe,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfonatronovibrionaceae
127,RS_GCF_000376245.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Micrococcaceae
128,GB_GCA_014647235.1,aerobe,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae
129,RS_GCF_000025485.1,anaerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Chromatiaceae
130,RS_GCF_000696075.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae
131,RS_GCF_000009905.1,anaerobe,d__Bacteria,p__Firmicutes_E,c__Symbiobacteriia,o__Symbiobacteriales,f__Symbiobacteriaceae
132,RS_GCF_007830055.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae
133,RS_GCF_000328665.1,anaerobe,d__Archaea,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanosarcinaceae
134,RS_GCF_012979235.1,anaerobe,d__Bacteria,p__Desulfobacterota,c__Dissulfuribacteria,o__Dissulfuribacterales,f__Dissulfurirhabdaceae
135,RS_GCF_000828635.1,anaerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Rhodocyclaceae
136,RS_GCF_014467075.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae
137,RS_GCF_001465595.2,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
138,RS_GCF_000688655.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae
139,RS_GCF_000191045.1,anaerobe,d__Bacteria,p__Aquificota,c__Desulfurobacteriia,o__Desulfurobacteriales,f__Desulfurobacteriaceae
140,RS_GCF_900115825.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae
141,RS_GCF_000375425.1,aerobe,d__Bacteria,p__Bacteroidota,c__Rhodothermia,o__Balneolales,f__Balneolaceae
142,RS_GCF_003096535.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Butyricicoccaceae
143,RS_GCF_004348825.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Spirosomaceae
144,RS_GCF_900113055.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Cellulomonadaceae
145,RS_GCF_900114455.1,aerobe,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae
146,RS_GCF_014204935.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae
147,RS_GCF_000382245.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halomonadaceae
148,RS_GCF_000217795.1,anaerobe,d__Bacteria,p__Desulfobacterota,c__Thermodesulfobacteria,o__Thermodesulfobacteriales,f__Thermodesulfatatoraceae
149,RS_GCF_002355595.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae
150,RS_GCF_009930795.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae
151,RS_GCF_000421225.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Beutenbergiaceae
152,RS_GCF_006974145.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae
153,RS_GCF_003865015.1,anaerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Rhodocyclaceae
154,RS_GCF_000020225.1,anaerobe,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Akkermansiaceae
155,RS_GCF_000312445.1,anaerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae
156,RS_GCF_009834025.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Antricoccaceae
157,RS_GCF_014190775.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae
158,RS_GCF_000951135.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae
159,RS_GCF_005952805.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
160,RS_GCF_000246855.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae
161,RS_GCF_000423185.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__DSM-16000,f__Inquilinaceae
162,RS_GCF_003640665.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Micrococcaceae
163,RS_GCF_003293745.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
164,RS_GCF_900102025.1,anaerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae
165,RS_GCF_001730235.1,anaerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Tepidibacillales,f__Tepidibacillaceae
166,RS_GCF_014202435.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae
167,GB_GCA_000210715.1,anaerobe,d__Bacteria,p__Synergistota,c__Synergistia,o__Synergistales,f__Aminobacteriaceae
168,RS_GCF_004115085.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae
169,RS_GCF_003991135.1,anaerobe,d__Bacteria,p__Firmicutes_F,c__Halanaerobiia,o__DY22613,f__DY22613
170,RS_GCF_004363215.1,anaerobe,d__Archaea,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanosarcinaceae
171,RS_GCF_012848855.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Parvibaculales,f__Phaeomarinobacteraceae
172,RS_GCF_002943755.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae
173,RS_GCF_002899715.1,anaerobe,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae
174,RS_GCF_000018865.1,anaerobe,d__Bacteria,p__Chloroflexota,c__Chloroflexia,o__Chloroflexales,f__Chloroflexaceae
175,RS_GCF_001881565.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae
176,RS_GCF_000423365.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Devosiaceae
177,RS_GCF_003609645.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Caloranaerobacteraceae
178,RS_GCF_001748225.1,anaerobe,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfoplanaceae
179,RS_GCF_004359525.2,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae
180,RS_GCF_004341685.1,anaerobe,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae
181,RS_GCF_004341945.1,anaerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae
182,RS_GCF_002115725.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
183,RS_GCF_001049735.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
184,RS_GCF_003814515.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Salinicoccaceae
185,RS_GCF_000647975.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
186,RS_GCF_000969705.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Nitriliruptorales,f__Nitriliruptoraceae
187,RS_GCF_006742065.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae
188,RS_GCF_001598855.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae
189,RS_GCF_000372865.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylomonadaceae
190,RS_GCF_000173815.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae
191,RS_GCF_000284515.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_D,f__Halobacillaceae
192,RS_GCF_006716065.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Micromonosporaceae
